ID,Name,Description,Instructor
540A,Applied Business Research,"Students must contact Professor Yoo-Seong Song at Yoosong@illinois.edu for approval to register. As an experiential learning class, this course covers advanced techniques of business research with an emphasis on managing real-world client projects. Students will be assigned to teams and work with clients to identify research requirements and construct recommendations. Students will acquire critical skills in creating professional deliverables through client engagements. Students will build professional research portfolios at the conclusion of their projects. Course Information: 4 graduate hours. No professional credit. May be repeated in separate terms up to 8 hours if topics vary. Prerequisite: Instructor approval required.
",Yoo-Seong Song
542A," Data, Stat, Info","This is a required course for the MSIM degree. An introduction to statistical and probabilistic models as they pertain to quantifying information, assessing information quality, and principled application of information to decision making, with focus on model selection and gauging model quality. The course reviews relevant results from probability theory, parametric and non-parametric predictive models, as well as extensions of these models for unsupervised learning. Applications of statistical and probabilistic models to tasks in information management (e.g. prediction, ranking, and data reduction) are emphasized. Course Information: 4 graduate hours. No professional credit. Prerequisite: Graduate standing.
",Vetle Torvik
542B," Data, Stat, Info","This is a required course for the MSIM degree. An introduction to statistical and probabilistic models as they pertain to quantifying information, assessing information quality, and principled application of information to decision making, with focus on model selection and gauging model quality. The course reviews relevant results from probability theory, parametric and non-parametric predictive models, as well as extensions of these models for unsupervised learning. Applications of statistical and probabilistic models to tasks in information management (e.g. prediction, ranking, and data reduction) are emphasized. Course Information: 4 graduate hours. No professional credit. Prerequisite: Graduate standing.
",David Dubin
543A, Sociotechnical Info Systems,"This is a required course for the MSIM degree. The character, success, and costs/benefits of information technologies are socio-technical matters. Because of this, best practice for IT design and integration relies on participants' ability to understand and create for the totality of those settings, including social and technical dimensions. This course provides students with analytic tools for examining socio-technical settings and experience in applying that knowledge in IT modeling, design and management. Course Information: 4 graduate hours. No professional credit.
","Peter Darch, Karen Ruhleder, Stacy Wykle"
543B, Sociotechnical Info Systems,"This is a required course for the MSIM degree. The character, success, and costs/benefits of information technologies are socio-technical matters. Because of this, best practice for IT design and integration relies on participants' ability to understand and create for the totality of those settings, including social and technical dimensions. This course provides students with analytic tools for examining socio-technical settings and experience in applying that knowledge in IT modeling, design and management. Course Information: 4 graduate hours. No professional credit.
","Jerome McDonough, Karen Ruhleder"
543C, Sociotechnical Info Systems,"This is a required course for the MSIM degree. The character, success, and costs/benefits of information technologies are socio-technical matters. Because of this, best practice for IT design and integration relies on participants' ability to understand and create for the totality of those settings, including social and technical dimensions. This course provides students with analytic tools for examining socio-technical settings and experience in applying that knowledge in IT modeling, design and management. Course Information: 4 graduate hours. No professional credit.
",Karen Ruhleder
545AO, Social Just Info Professions,"This course is intended to provide a historic and contemporary overview of social justice and advocacy work in librarianship. The course will be primarily focused on activities in the United States, though international movements and perspectives will be addressed. Topics include: desegregation of libraries and professional associations; recruitment and retention of library workers from traditionally underrepresented populations; library outreach; intellectual freedom; and emerging critical theories and issues in the field. Course Information: 2 graduate hours. No professional credit. Prerequisite: Graduate student.
",Nicole Cooke
547AO, Info Srvcs Diverse Populations,"This course is designed to prepare future information professionals to develop and provide inclusive services to underrepresented populations, and to analyze and evaluate services to ensure equality of access to information in a range of institutional settings. Through readings, discussion, guest lectures, and site visits, students will explore diversity issues that impact information services and develop skills for planning, implementing, and evaluating programs and services for addressing these issues. Specific diversity issues include race and ethnicity; education; language; literacy; disability; gender and sexual orientation; social class; national origin; physical, psychological, and learning ability; and age. Course Information: 2 or 4 graduate hours. No professional credit.
",Nicole Cooke
548A, Library Buildings,"Required overnight field trip (Dates to be provided). A non-waived field trip fee of $100 will be assessed to tuition and fees bill. The students will also be responsible for the cost of their meals and one night's lodging. Questions may be directed to the instructor Professor Schlipf at fschlipf@illinois.edu. Studies the library's physical plant in the light of changing concepts and patterns of library service; analyzes present-day library buildings (both new and remodeled), and their comparison with each other as well as with buildings of the past; examines the interrelationship of staff, collections, users, and physical plant; discussion supplemented by visits to new libraries and conference with their staffs. A two-day field trip is required. Course Information: Additional fees may apply. See Class Schedule. 2 or 4 graduate hours. No professional credit.
",Fred Schlipf
559A, Network Analysis,"Network Analysis has become a widely adopted method for studying the interactions between social agents, information and infrastructures. The strong demand for expertise in network analysis has been fueled by the widespread acknowledgement that everything is connected and the popularity of social networking services. This interdisciplinary course introduces students to fundamental theories, concepts, methods and applications of network analysis in a practical manner. Students learn and practice hands-on skills in collecting, analyzing and visualizing network data. Course Information: 4 graduate hours. No professional credit.
","Jana Diesner, Shubhanshu Mishra"
560AO, Digital Libraries,"A comprehensive examination of the history and state-of-the-art in digital library research and practice. Focuses upon the theoretical, technological, human factors and evaluative components of digital library research and practice. Course includes an intensive reading of the literature, review of existing technologies and proof-of-concepts implementation projects. Students should have access to a personal computer on which they can experiment on their own with downloaded software tools. Students must be competent in basic computing including the installation and configuration of software packages. Course Information: 4 graduate hours. No professional credit. Prerequisite: IS 501 or consent of instructor; previous or concurrent enrollment in IS 452 (either the 2 credit hours or the 4 credit hours of IS 452 are acceptable), or proof of competency in programming.
", J Stephen Downie
561A, Information Modeling,"This is a required course for the MSIM degree. For MSLIS students IS 501, or concurrent enrollment in IS 501 and IS 561 is required. An introduction to the foundations of information modeling methods used in current digital library applications. The specific methods considered include relational database design, conceptual modeling, markup systems, and ontologies. The basic concepts underlying these methods are, respectively, relations, entities, grammars, and logic. Implementations include relational database design, ER/EER/UML diagrams, XML markup languages, and RDF/OWL semantic web languages. First order logic is emphasized throughout as the foundational framework for information modeling in general, and for contemporary web-based information management and delivery systems (including semantic web technologies) in particular. Course Information: 4 graduate hours. No professional credit.
","David Dubin,  Michael Gryk, Jodi Schneider"
561AO, Information Modeling,"This is a required course for the MSIM degree. For MSLIS students IS 501, or concurrent enrollment in IS 501 and IS 561 is required. An introduction to the foundations of information modeling methods used in current digital library applications. The specific methods considered include relational database design, conceptual modeling, markup systems, and ontologies. The basic concepts underlying these methods are, respectively, relations, entities, grammars, and logic. Implementations include relational database design, ER/EER/UML diagrams, XML markup languages, and RDF/OWL semantic web languages. First order logic is emphasized throughout as the foundational framework for information modeling in general, and for contemporary web-based information management and delivery systems (including semantic web technologies) in particular. Course Information: 4 graduate hours. No professional credit.
","David Dubin,  Michael Gryk, Jodi Schneider"
561B, Information Modeling,"This is a required course for the MSIM degree. For MSLIS students IS 501, or concurrent enrollment in IS 501 and IS 561 is required. An introduction to the foundations of information modeling methods used in current digital library applications. The specific methods considered include relational database design, conceptual modeling, markup systems, and ontologies. The basic concepts underlying these methods are, respectively, relations, entities, grammars, and logic. Implementations include relational database design, ER/EER/UML diagrams, XML markup languages, and RDF/OWL semantic web languages. First order logic is emphasized throughout as the foundational framework for information modeling in general, and for contemporary web-based information management and delivery systems (including semantic web technologies) in particular. Course Information: 4 graduate hours. No professional credit.
","David Dubin,  Michael Gryk, Jodi Schneider"
562AO, Metadata in Theory & Practice,"Combines theoretical examination of the design of metadata schema with their practical application in a variety of settings. Hands-on experience in the creation of descriptive, administrative, and structural metadata, along with their application in systems such as OAI harvesting, OpenURL resolution systems, metasearch systems and digital repositories, will help students develop a thorough understanding of current metadata standards as well as such issues as crosswalking, metadata schema, metadata's use in information retrieval and data management applications, and the role of standards bodies in metadata schema development. Course Information: 4 graduate hours. No professional credit. Prerequisite: IS 501 or consent of instructor.
","Jerome McDonough, Rihiannon Bettivia"
567AO, Academic Librarianship,"Introduces the higher education environment in which academic librarians and other information professionals operate in order to prepare students for leadership roles both within academic libraries and in their parent institutions. This course explores academic librarianship through a variety of lenses including: history and organization of higher education; accreditation; characteristics of students; roles of faculty and other campus professionals; and current issues and challenges. Course Information: 4 graduate hours. No professional credit.
",Melissa Wong
568AO, Theological Librarianship,"Provides an overview of the contexts, materials, services, and issues characterizing theological librarianship. Students interact with a number of librarians currently working in the field. Course Information: 2 or 4 graduate hours. No professional credit.
",Carisse Berryhill
580AO, Rare Book and Spec Colls,"Designed as a practical introduction to Rare Book and Special Collections Librarianship, to cover for the neophyte as well as the experienced librarian the many issues of these departments' responsibilities, including selection, acquisition, receiving, cataloging, processing, shelving, circulation, inter-library loan, reference, preservation and conservation, security, exhibition, publication, and so forth, including the uses of information technology. Course Information: 2 graduate hours. No professional credit.
",Sidney Berger
581AO, Adm and Use Archival Materials,"Administration of archives and manuscript collections in various types of institutions. Theoretical principles and archival practices of appraisal, acquisition, accessioning, arrangement, description, preservation, and reference services. Topics will include: records management programs, collecting archives programs/special collections, legal and ethical issues, public programming and advocacy, and the impact of new information technologies for preservation and access. Lectures, discussion, internet demonstration, and field trips to the Special Collections Department and University Archives. Course Information: 4 graduate hours. No professional credit.
",Melissa Salrin
582AO, Preserving Info Resources,"Covers the broad range of library preservation and conservation for book and nonbook materials relating these efforts to the total library environment; emphasizes how the preservation of collections affects collection management and development, technical services, access to materials and service to users. Course Information: 4 graduate hours. No professional credit.
",Andrew Huot
583A, Grad Bioinformatics Seminar,This seminar series focuses on research in the field of bioinformatics and computational biology. Course Information: Same as CPSC 591 and INFO 591. See INFO 591.,Sandra Rodriguez-Zas
586A, Digital Preservation,"Examines current problems with and approaches to digital preservation that are fundamental to the long-term accessibility of digital materials. Examines the range of current research problems, along with emerging methods and tools, and assesses a variety of organizational scenarios to plan and implement a preservation plan. Topics include basic information theory, preservation of complex digital objects; standards and specifications; sustainability and risk assessment; authenticity, integrity, quality control, and certification; and management of preservation activities. Course Information: 4 graduate hours. No professional credit.
",Rhiannon Bettivia
586AO, Digital Preservation,"Examines current problems with and approaches to digital preservation that are fundamental to the long-term accessibility of digital materials. Examines the range of current research problems, along with emerging methods and tools, and assesses a variety of organizational scenarios to plan and implement a preservation plan. Topics include basic information theory, preservation of complex digital objects; standards and specifications; sustainability and risk assessment; authenticity, integrity, quality control, and certification; and management of preservation activities. Course Information: 4 graduate hours. No professional credit.", Robert DeCandido
587A, History and Foundations of LIS,"This required course for all first-semester library and information science (LIS) doctoral students introduces students to the historical foundations of LIS. Examinations of the interactions of socio-cultural, technological and professional factors underlying the emergence of LIS provide a basis for exploring more recent developments in theory and practice. Course Information: 4 graduate hours. No professional credit. Prerequisite: LIS doctoral student in their first semester.
","Bonnie Mak,  Terry Weech"
590AT, Issues Scholarly Communication,"Description: A basic level of scholarly communication literacy and sophistication is an increasing requirement of academic librarians, both to inform their work and to make those librarians effective partners in the scholarly enterprise. This course is designed to cultivate and develop that literacy. It will address topics such as: the established modes of scholarly communication and the emergence of alternatives influenced by the growth of social media and other forms of networked communication; the divide between formal and informal modes of scholarly communication and the current state of flux as that divide begins to collapse; the varying economies of scholarship (the reputation and prestige economy, the financial economy both in the market and in the mission-driven research academy, and the economic impact of scholarly communication decisions upon library budgets); modes of credentialing scholarship and their impact upon professional advancement, with special attention to peer rev Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.
",Maria Bonn
590BAO, Business Analytics,"A foundational course in practical data analytics for the beginner. Students will be introduced to current data analysis tools and techniques for the querying, transformation, summarization, visualization, and modeling of data. Concurrently, the course will explore the terminology and theory behind data analysis and delve into the soft skills required to become an analytics advocate in the workplace. Tools used will include R, MySQL, and Tableau. No prior experience is assumed. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.
",John Gough
590BBO," Bookbinding: Hist, Princ, Prac","A hands-on exploration of multiple styles of bookbinding. Students will acquire fundamental technical knowledge by creating a variety of book structures using traditional tools and materials. An appreciation of the history of bindings will be gained through readings, visits to the Rare Book and Manuscript Library, the Conservation Lab and other field trips. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.
",Andrew Huot
590CA, Community Archives,"Prerequisites LIS 581, or consent of instructor. Community Archives are a collection of material that documents one or many aspects of a community's heritage, collected and preserved by that community and its members. These materials tell the story of groups of people who have often been excluded from mainstream archives, which have tended to focus on official documents and the lives of elites. We will investigate the role community archives play in supporting a sense of heritage and identity amongst members of a community and how they serve to raise awareness of these neglected stories in the wider public. Will work with local organizations that have agreed to take part, and students will contribute to the work of their archives by assisting in identifying records of long term value, documenting the experience of its members, providing the organization with practical and affordable solutions within a framework of best practice of archives and records management, and working collaborat Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.
",Anke Voss
590CRO, Comics: Advising Readers,"[Expanded title: Comics: Advising Child and Adult Readers] Comics--in forms including comic strips, comic books, graphic novels, webcomics, and manga--represent an important cultural medium, which appeals to persons of all ages and is collected by many school, public, and academic libraries. This course introduces students to the comics medium, its history, and its cultural influences. Students will read a variety of comics and learn about materials and techniques key to providing reader's advisory in this medium. Although this course focuses on American comics, some readings and discussions will touch on this medium's international dimensions. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.
",Carol Tilley
590DHO, Digital Humanities,"Will look at some of the history of digital humanities, examine some case studies of digital tools and methods applied to humanities material in the context of research, and consider the implications of such projects for libraries, both in terms of providing support to their creators and in terms of collecting the results. This course considers fundamental concepts and common technologies to understand how they enable and constrain digital scholarship in the humanities, and to explore the abundant opportunities and challenges that digital projects pose for libraries. Through lectures, discussion, and hands-on use of digital tools and humanities data, students will gain familiarity with the shape and prominent features of the extensive landscape of digital humanities research, along with some of the basic skills required to navigate it. Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.
",Katrina Fenlon
590DI, Big Data Infrastructrs for R&D,"Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.
",Melissa Cragin
590DT, Data Mining,"Data mining refers to the process of exploring large datasets with the goal of uncovering interesting patterns. This process usually involves a number of tasks such as data collection, pre-processing, and characterization; model fitting, selection, and evaluation; classification, clustering, and prediction. Although data mining has its roots in database management, it has grown into a discipline that focuses on algorithm design (to ensure computational feasibility) and statistical modeling (to separate the signal from the noise). It draws heavily upon a variety of other disciplines including statistics, machine learning, operations research, and information retrieval. Will cover the major data mining concepts, principles, and techniques that *every information scientist should know about.* Lectures will introduce and discuss the major approaches to data mining; computer lab sessions coupled with assignments will provide hands-on experience with these approaches; term projects offer the Variety of newly developed and special topics courses on different aspects of the information sciences intended to augment the existing curriculum, offered as sections of IS 590. Course Information: Additional fees may apply. See Class Schedule. 1 to 4 graduate hours. No professional credit. May be repeated. Class Schedule Information: Class materials fee or field trip fee may be required.
",Vetle Torvik
202AD1, Social Aspects Info Tech,Course Information: Same as INFO 202 and MACS 202. See INFO 202,Emily Knox
202AD2, Social Aspects Info Tech,Course Information: Same as INFO 202 and MACS 202. See INFO 202,Emily Knox
202AD3, Social Aspects Info Tech,Course Information: Same as INFO 202 and MACS 202. See INFO 202,Emily Knox
202AD4, Social Aspects Info Tech,Course Information: Same as INFO 202 and MACS 202. See INFO 202,Emily Knox
202AD5, Social Aspects Info Tech,Course Information: Same as INFO 202 and MACS 202. See INFO 202,Emily Knox
202AD6, Social Aspects Info Tech,Course Information: Same as INFO 202 and MACS 202. See INFO 202,Emily Knox
202AE1, Social Aspects Info Tech,Course Information: Same as INFO 202 and MACS 202. See INFO 202,Emily Knox
390CC,Computers and Cultures," Explores cultural ideas about computers, including hopes and fears about the effects of computers on our lives. Will analyze images of computers in fiction and movies. The course will also examine hackers, online subcultures, and other computer-related subcultures, and the integration of computers into various cultural practices. Directed and supervised investigation of selected topics in information studies that may include among others computers and culture; information policy; community information systems; production, retrieval and evaluation of scientific or social science knowledge; computer-mediated communication; and computer-supported cooperative work",Damian Duffy
390RGI,"Race, Gender & Info Technology","Critically examine the ways in which information and communication technologies (ICTs) are shaped by -- and help to shape -- social relations of race and gender; and we will extend our review to other categories of identity and exclusion as well, such as age, ability, geography and ethnicity. We will also explore the various benefits and burdens of the information society and how these are socially distributed, and conduct case-studies of policies, practices, and programs designed to enhance opportunities and/or mitigate disadvantages through the creative or disruptive use of ICTs. Directed and supervised investigation of selected topics in information studies that may include among others computers and culture; information policy; community information systems; production, retrieval and evaluation of scientific or social science knowledge; computer-mediated communication; and computer-supported cooperative work.",David Hopping
390W1A,Web Technologies & Techniques,"This course provides an introduction to the technologies behind the Web. Topics covered include: hypertext, hypermedia, the history of the Web, the role of Web standards and their impact on the development of Web resources. The course introduces principles of Web design and usability. Students will gain an understanding how the Web works and how to design, construct, evaluate, and maintain Web-based materials. Directed and supervised investigation of selected topics in information studies that may include among others computers and culture; information policy; community information systems; production, retrieval and evaluation of scientific or social science knowledge; computer-mediated communication; and computer-supported cooperative work","David Hopping, Jared Dunn"
390W1B,Web Technologies & Techniques,"This course provides an introduction to the technologies behind the Web. Topics covered include: hypertext, hypermedia, the history of the Web, the role of Web standards and their impact on the development of Web resources. The course introduces principles of Web design and usability. Students will gain an understanding how the Web works and how to design, construct, evaluate, and maintain Web-based materials. Directed and supervised investigation of selected topics in information studies that may include among others computers and culture; information policy; community information systems; production, retrieval and evaluation of scientific or social science knowledge; computer-mediated communication; and computer-supported cooperative work","David Hopping, Jared Dunn"
404AG,Lit and Resources Young Adults,"Meets with IS 404 AU. Evaluation, selection and use of books and other resources for young adults (ages 12-18) in public libraries and school media centers; explores standard selection criteria for print and nonprint materials in all formats and develops the ability to evaluate and promote materials according to their various uses (personal and curricular) and according to young adults' various needs (intellectual, emotional, social and physical). Course Information: 3 undergraduate hours. 2 or 4 graduate hours. Prerequisite: For undergraduates, junior or senior standing and consent of instructo",Karla Lucht
404AO,Lit and Resources Young Adults,"Restricted to graduate students in the School of Information Sciences. Evaluation, selection and use of books and other resources for young adults (ages 12-18) in public libraries and school media centers; explores standard selection criteria for print and nonprint materials in all formats and develops the ability to evaluate and promote materials according to their various uses (personal and curricular) and according to young adults' various needs (intellectual, emotional, social and physical). Course Information: 3 undergraduate hours. 2 or 4 graduate hours. Prerequisite: For undergraduates, junior or senior standing and consent of instructor.",Debra Mitts Smith
404AU,Lit and Resources Young Adults,"For undergraduates, junior or senior standing. Meets with IS 404 AG. Evaluation, selection and use of books and other resources for young adults (ages 12-18) in public libraries and school media centers; explores standard selection criteria for print and nonprint materials in all formats and develops the ability to evaluate and promote materials according to their various uses (personal and curricular) and according to young adults' various needs (intellectual, emotional, social and physical). Course Information: 3 undergraduate hours. 2 or 4 graduate hours. Prerequisite: For undergraduates, junior or senior standing and consent of instructor.",Karla Lucht
409AG,Storytelling,"2 or 4 hours; Meets with IS 409 AU. Fundamental principles of the art of storytelling including techniques of adaptation and presentation; content and sources of materials; methods of learning; practice in storytelling; planning the story hour for school and public libraries and other public information settings; and audio, video, and digital media. Course Information: 3 undergraduate hours. 2 or 4 graduate hours. Prerequisite: For undergraduates, junior or senior standing and consent of instructor.",Kate McDowell
409AO,Storytelling,"2 or 4 credits. Restricted to graduate students in the School of Information Sciences. Fundamental principles of the art of storytelling including techniques of adaptation and presentation; content and sources of materials; methods of learning; practice in storytelling; planning the story hour for school and public libraries and other public information settings; and audio, video, and digital media. Course Information: 3 undergraduate hours. 2 or 4 graduate hours. Prerequisite: For undergraduates, junior o", Daniel Keding
409AO2,Storytelling,"2 or 4 hours; Meets with IS 409 AU. Fundamental principles of the art of storytelling including techniques of adaptation and presentation; content and sources of materials; methods of learning; practice in storytelling; planning the story hour for school and public libraries and other public information settings; and audio, video, and digital media. Course Information: 3 undergraduate hours. 2 or 4 graduate hours. Prerequisite: For undergraduates, junior or senior standing and consent of instructor.",Kate McDowell
409AU,Storytelling,"2 or 4 hours; Meets with IS 409 AU. Fundamental principles of the art of storytelling including techniques of adaptation and presentation; content and sources of materials; methods of learning; practice in storytelling; planning the story hour for school and public libraries and other public information settings; and audio, video, and digital media. Course Information: 3 undergraduate hours. 2 or 4 graduate hours. Prerequisite: For undergraduates, junior or senior standing and consent of instructor.",Kate McDowell
418AG,Community Engagement,Meets with IS418AU. Location: Room 109,Martin Wolske
418AO,Community Engagement,"Community engagement refers to the multiple ways that information professionals in libraries and other settings learn about, collaborate with, and provide service and outreach to community members. Provides an introduction to, and overview of, community engagement theory and practice. A significant portion of coursework will take the form of service learning or community-based research via approved projects that match students' interests. Course Information: 3 undergraduate hours. 4 graduate hours.",Ellen Knutson
418AU,Community Engagement,"Meets with IS 418 AG. Community engagement refers to the multiple ways that information professionals in libraries and other settings learn about, collaborate with, and provide service and outreach to community members. Provides an introduction to, and overview of, community engagement theory and practice. A significant portion of coursework will take the form of service learning or community-based research via approved projects that match students' interests. Course Information: 3 undergraduate hours. 4 graduate hours.",Martin Wolske
445AG,Info Books & Resources Youth,"2 or 4 credits. This is a hybrid course that meets with IS 445 AU and IS 445 AO. Evaluation, selection and use of information books and other resources for young people (ages 0-18) in public libraries and school media centers; explores standard selection criteria for factual print and nonprint materials in all formats and develops the ability to evaluate and promote nonfiction books and resources according to their various uses (personal and curricular) and according to young people's various needs (intellectual, emotional, social and physical). Course Information: 3 undergraduate hours. 2 or 4 graduate hours.",Elizabeth Bush
445AO,Info Books & Resources Youth,"2 or 4 credits. This is a hybrid course that meets with IS 445 AU and IS 445 AO. Evaluation, selection and use of information books and other resources for young people (ages 0-18) in public libraries and school media centers; explores standard selection criteria for factual print and nonprint materials in all formats and develops the ability to evaluate and promote nonfiction books and resources according to their various uses (personal and curricular) and according to young people's various needs (intellectual, emotional, social and physical). Course Information: 3 undergraduate hours. 2 or 4 graduate hours.",Elizabeth Bush
445AU,Info Books & Resources Youth,"2 or 4 credits. This is a hybrid course that meets with IS 445 AU and IS 445 AO. Evaluation, selection and use of information books and other resources for young people (ages 0-18) in public libraries and school media centers; explores standard selection criteria for factual print and nonprint materials in all formats and develops the ability to evaluate and promote nonfiction books and resources according to their various uses (personal and curricular) and according to young people's various needs (intellectual, emotional, social and physical). Course Information: 3 undergraduate hours. 2 or 4 graduate hours.",Elizabeth Bush
451A, Intro to Network Systems,"This is a hybrid course that meets with IS 451 AO. Hands-on introduction to technology systems for use in information environments. The course steps students through choosing, installing, and managing computer hardware and operating systems, as well as networking hardware and software. The course also explores alternatives for administering IT and how to assess emerging technologies and their applicability to library settings. While students are expected to have basic computer competencies per the School of Information Sciences admissions requirements, the goal of the course is to provide practical detailed knowledge of the technology for all levels of competency. The primary objective is to provide a conceptual understanding of the topics of the day through concrete hands-on examples of implementation. By learning the underlying concepts, students will be better prepared to help design networked systems that not only work well today, but also develop systems that can be easily adapted for the needs and technologies of tomorrow. Course.",Martin Wolske
451AO, Intro to Network Systems,"This is a hybrid course that meets with IS 451 AO. Hands-on introduction to technology systems for use in information environments. The course steps students through choosing, installing, and managing computer hardware and operating systems, as well as networking hardware and software. The course also explores alternatives for administering IT and how to assess emerging technologies and their applicability to library settings. While students are expected to have basic computer competencies per the School of Information Sciences admissions requirements, the goal of the course is to provide practical detailed knowledge of the technology for all levels of competency. The primary objective is to provide a conceptual understanding of the topics of the day through concrete hands-on examples of implementation. By learning the underlying concepts, students will be better prepared to help design networked systems that not only work well today, but also develop systems that can be easily adapted for the needs and technologies of tomorrow. Course.",Martin Wolske
452AG,FOUNDATIONS OF INFO Processing,"2 or 4 credits. Laptop Required. Covers common data, document processing, and programming constructs and concepts. Focuses on problem solving and abstraction with a programming language. By the end of the course students will be able to design, develop and test a moderately complex computer program to manage full text, bibliographic records or multimedia. The course prepares students for working with applications in data analytics, data science, digital libraries, text mining and knowledge management. No prior programming background is assumed. Course Information: 4 undergraduate hours. 2 or 4 graduate hours.","Nicolas LaLone, Elizabeth Wickes"
452AO,FOUNDATIONS OF INFO Processing,"2 or 4 credits. Covers common data, document processing, and programming constructs and concepts. Focuses on problem solving and abstraction with a programming language. By the end of the course students will be able to design, develop and test a moderately complex computer program to manage full text, bibliographic records or multimedia. The course prepares students for working with applications in data analytics, data science, digital libraries, text mining and knowledge management. No prior programming background is assumed. Course Information: 4 undergraduate hours. 2 or 4 graduate hours.","Nicolas LaLone, Elizabeth Wickes"
452AU,FOUNDATIONS OF INFO Processing,"Laptop Required. Covers common data, document processing, and programming constructs and concepts. Focuses on problem solving and abstraction with a programming language. By the end of the course students will be able to design, develop and test a moderately complex computer program to manage full text, bibliographic records or multimedia. The course prepares students for working with applications in data analytics, data science, digital libraries, text mining and knowledge management. No prior programming background is assumed. Course Information: 4 undergraduate hours. 2 or 4 graduate hours.", Elizabeth Wickes
452BG,FOUNDATIONS OF INFO Processing,"2 or 4 credits. Laptop Required. Covers common data, document processing, and programming constructs and concepts. Focuses on problem solving and abstraction with a programming language. By the end of the course students will be able to design, develop and test a moderately complex computer program to manage full text, bibliographic records or multimedia. The course prepares students for working with applications in data analytics, data science, digital libraries, text mining and knowledge management. No prior programming background is assumed. Course Information: 4 undergraduate hours. 2 or 4 graduate hours.",Nicolas LaLone
452BU,FOUNDATIONS OF INFO Processing,"Laptop Required. Covers common data, document processing, and programming constructs and concepts. Focuses on problem solving and abstraction with a programming language. By the end of the course students will be able to design, develop and test a moderately complex computer program to manage full text, bibliographic records or multimedia. The course prepares students for working with applications in data analytics, data science, digital libraries, text mining and knowledge management. No prior programming background is assumed. Course Information: 4 undergraduate hours. 2 or 4 graduate hours.",Nicolas LaLone
457IDG, Introduction to Data Science,"2 or 4 credits. Covers common data, document processing, and programming constructs and concepts. Focuses on problem solving and abstraction with a programming language. By the end of the course students will be able to design, develop and test a moderately complex computer program to manage full text, bibliographic records or multimedia. The course prepares students for working with applications in data analytics, data science, digital libraries, text mining and knowledge management. No prior programming background is assumed. Course Information: 4 undergraduate hours. 2 or 4 graduate hours.
",Victoria Stodden
457IDU, Introduction to Data Science,"4 Credit Hours. Meets with IS 457 IDU This course introduces students to data science approaches that have emerged from recent advances in programming and computing technology. They will learn to collect and use data from a variety of sources, including the web, in a modern statistical inference and visualization paradigm. The course will be based in the programming language R, but will also use HTML, regular expressions, basic unix tools, XML, and SQL. Supervised and unsupervised statistical learning techniques made possible by recent advances in computing power will also be covered. Course Information: 4 undergraduate hours. 4 graduate hours.
",Victoria Stodden
458AO, Instruc Strat Tech Info Prof,"2 or 4 credits. Provides an introduction to learning theories and instructional methods used in a variety of information settings, including libraries, archives, museums, online, and educational environments. Includes an overview of theoretical and applied research and discusses relevant issues and concepts. Students will have an opportunity to design and present an instructional program. Course Information: 3 undergraduate hours. 2 or 4 graduate hours.
",Melissa Wong
