,Course1,Course2,Common Entities
1196,590PR,490ITU,"['consent', 'skills', 'instructor', 'developers']"
1197,590PR,490SMG,"['consent', 'instructor']"
1198,590PR,490SMU,"['consent', 'instructor']"
1199,590PR,490TEO,"['projects', 'software', 'fundamentals', 'consent', 'instructor', 'skills']"
1200,590PR2,590QM,"['patterns', 'data structures', 'processing', 'software', 'design', 'LIS 452', 'reliability', 'code maintainability', 'projects', 'types', 'fundamentals', 'conversion', 'data analysis', 'refactoring', 'developers', 'language', 'work', 'more', 'processing pipelines', 'OOP design concepts', 'profiling', 'tools', 'Python', 'problems', 'scenarios', 'validation', 'skills']"
1201,590PR2,594JLW,"['patterns', 'projects']"
1202,590PR2,515A,['types']
1203,590PR2,515AO,['types']
1204,590PR2,516A,"['skills', 'projects']"
1205,590PR2,516AO,"['skills', 'projects']"
1206,590PR2,525AO,['types']
1207,590PR2,528A,['tools']
1208,590PR2,530C,"['tools', 'skills']"
1209,590PR2,530I,"['tools', 'problems']"
1210,590PR2,531AO,['problems']
1211,590PR2,532A,['tools']
1212,590PR2,532AO,['tools']
1213,590PR2,540A,"['skills', 'projects']"
1214,590PR2,543A,"['tools', 'design']"
1215,590PR2,543B,"['tools', 'design']"
1216,590PR2,543C,"['tools', 'design']"
1217,590PR2,545AO,['work']
1218,590PR2,547AO,"['skills', 'language']"
1219,590PR2,548A,['patterns']
1220,590PR2,559A,['skills']
1221,590PR2,562AO,['design']
1222,590PR2,580AO,['processing']
1223,590PR2,581AO,['types']
1224,590PR2,586A,"['tools', 'problems', 'scenarios']"
1225,590PR2,586AO,"['tools', 'problems', 'scenarios']"
1226,590PR2,590AT,['work']
1227,590PR2,590BAO,['data analysis']
1228,590PR2,590BBO,['tools']
1229,590PR2,590CA,['work']
1230,590PR2,590DHO,"['tools', 'skills', 'projects']"
1231,590PR2,590DT,['patterns']
1232,590PR2,390CC,['work']
1233,590PR2,390RGI,['work']
1234,590PR2,390W1A,['work']
1235,590PR2,390W1B,['work']
1236,590PR2,418AO,['projects']
1237,590PR2,418AU,['projects']
1238,590PR2,451A,['software']
1239,590PR2,451AO,['software']
1240,590PR2,457IDG,"['software', 'skills', 'tools', 'language', 'work']"
1241,590PR2,457IDU,"['software', 'skills', 'tools', 'language', 'work']"
1242,590PR2,461AG,['design']
1243,590PR2,461AO,['design']
1244,590PR2,461AU,['design']
1245,590PR2,462G4,['software']
1246,590PR2,462UG3,['software']
1247,590PR2,490GI,"['software', 'work']"
1248,590PR2,490ITG,"['software', 'work']"
1249,590PR2,490ITU,"['skills', 'developers']"
1250,590PR2,490TEO,"['skills', 'projects', 'software', 'fundamentals']"
1251,590QM,594JLW,"['patterns', 'projects']"
1252,590QM,515A,['types']
1253,590QM,515AO,['types']
1254,590QM,516A,"['skills', 'projects']"
1255,590QM,516AO,"['skills', 'projects']"
1256,590QM,525AO,['types']
1257,590QM,528A,['tools']
1258,590QM,530C,"['tools', 'skills']"
1259,590QM,530I,"['tools', 'problems']"
1260,590QM,531AO,['problems']
1261,590QM,532A,['tools']
1262,590QM,532AO,['tools']
1263,590QM,540A,"['skills', 'projects']"
1264,590QM,543A,"['tools', 'design']"
1265,590QM,543B,"['tools', 'design']"
1266,590QM,543C,"['tools', 'design']"
1267,590QM,545AO,['work']
1268,590QM,547AO,"['skills', 'language']"
1269,590QM,548A,['patterns']
1270,590QM,559A,['skills']
1271,590QM,560AO,['programming']
1272,590QM,562AO,['design']
1273,590QM,580AO,['processing']
1274,590QM,581AO,"['programming', 'types']"
1275,590QM,586A,"['tools', 'problems', 'scenarios']"
1276,590QM,586AO,"['tools', 'problems', 'scenarios']"
1277,590QM,590AT,['work']
1278,590QM,590BAO,['data analysis']
1279,590QM,590BBO,['tools']
1280,590QM,590CA,['work']
1281,590QM,590DHO,"['tools', 'skills', 'projects']"
1282,590QM,590DT,['patterns']
1283,590QM,390CC,['work']
1284,590QM,390RGI,['work']
1285,590QM,390W1A,['work']
1286,590QM,390W1B,['work']
1287,590QM,418AO,['projects']
1288,590QM,418AU,['projects']
1289,590QM,451A,['software']
1290,590QM,451AO,['software']
1291,590QM,457IDG,"['software', 'skills', 'tools', 'language', 'work']"
1292,590QM,457IDU,"['software', 'skills', 'tools', 'language', 'work']"
1293,590QM,461AG,['design']
1294,590QM,461AO,['design']
1295,590QM,461AU,['design']
1296,590QM,462G4,['software']
1297,590QM,462UG3,['software']
1298,590QM,490GI,"['software', 'work']"
1299,590QM,490ITG,"['software', 'work']"
1300,590QM,490ITU,"['skills', 'developers']"
1301,590QM,490TEO,"['skills', 'projects', 'software', 'fundamentals']"
1302,590SOS,590SPO,"['information sciences', 'IS 590', 'aspects']"
1303,590SOS,594JLW,"['methods', 'information sciences', 'IS 590', 'aspects']"
1304,590SOS,515A,['methods']
1305,590SOS,515AO,['methods']
1306,590SOS,518AO,['Survey']
1307,590SOS,559A,['methods']
1308,590SOS,561A,['methods']
1309,590SOS,561AO,['methods']
1310,590SOS,561B,['methods']
1311,590SOS,586A,['methods']
1312,590SOS,586AO,['methods']
1313,590SOS,590AT,"['information sciences', 'IS 590', 'aspects']"
1314,590SOS,590BAO,"['information sciences', 'IS 590', 'aspects']"
1315,590SOS,590BBO,"['information sciences', 'IS 590', 'aspects']"
1316,590SOS,590CA,"['information sciences', 'IS 590', 'aspects']"
1317,590SOS,590CRO,"['information sciences', 'IS 590', 'aspects']"
1318,590SOS,590DHO,"['methods', 'information sciences', 'IS 590', 'aspects']"
1319,590SOS,590DI,"['information sciences', 'IS 590', 'aspects']"
1320,590SOS,590DT,"['information sciences', 'IS 590', 'aspects']"
1321,590SOS,458AO,['methods']
1322,590SOS,490ITU,['methods']
1323,590SOS,490TEO,['methods']
1324,590SOS,501A,['methods']
1325,590SOS,501AO,['methods']
1326,590SOS,501AO2,['methods']
1327,590SOS,501B,['methods']
1328,590SPO,594JLW,"['information sciences', 'IS 590', 'aspects']"
1329,590SPO,515A,['Topics']
1330,590SPO,515AO,['Topics']
1331,590SPO,545AO,['Topics']
1332,590SPO,581AO,['Topics']
1333,590SPO,586A,['Topics']
1334,590SPO,586AO,['Topics']
1335,590SPO,590AT,"['information sciences', 'IS 590', 'aspects']"
1336,590SPO,590BAO,"['information sciences', 'IS 590', 'aspects']"
1337,590SPO,590BBO,"['information sciences', 'IS 590', 'aspects']"
1338,590SPO,590CA,"['information sciences', 'IS 590', 'aspects']"
1339,590SPO,590CRO,"['information sciences', 'IS 590', 'aspects']"
1340,590SPO,590DHO,"['information sciences', 'IS 590', 'aspects']"
1341,590SPO,590DI,"['information sciences', 'IS 590', 'aspects']"
1342,590SPO,590DT,"['information sciences', 'IS 590', 'aspects']"
1343,590SPO,390W1A,['Topics']
1344,590SPO,390W1B,['Topics']
1345,590SPO,490SMG,['Topics']
1346,590SPO,490SMU,['Topics']
1347,590TX,594JLW,"['Students', 'knowledge discovery process']"
1348,590TX,516A,['Students']
1349,590TX,516AO,['Students']
1350,590TX,530I,['Students']
1351,590TX,531AO,['activities']
1352,590TX,540A,['Students']
1353,590TX,542A,['extensions']
1354,590TX,542B,['extensions']
1355,590TX,545AO,['activities']
1356,590TX,559A,['Students']
1357,590TX,560AO,['Students']
1358,590TX,568AO,['Students']
1359,590TX,581AO,['description']
1360,590TX,590BAO,['Students']
1361,590TX,590BBO,['Students']
1362,590TX,590CRO,['Students']
1363,590TX,590DHO,['some']
1364,590TX,390W1A,['Students']
1365,590TX,390W1B,['Students']
1366,590TX,458AO,['Students']
1367,590TX,461AG,"['Students', 'activities']"
1368,590TX,461AO,"['Students', 'activities']"
1369,590TX,461AU,"['Students', 'activities']"
1370,590TX,462G4,['Students']
1371,590TX,462UG3,['Students']
1372,590TX,490ITU,"['Students', 'stages']"
1373,591AMO,591,"['duties', 'degree program', 'submission', 'U', 'maximum', 'library', 'information center', 'S/', 'information sciences courses', 'Completion', 'Practicum forms', 'field experience']"
1374,591AMO,502B,['library']
1375,591AMO,502C,['library']
1376,591AMO,548A,['library']
1377,591AMO,560AO,['library']
1378,591AMO,501A,['library']
1379,591AMO,501AO,['library']
1380,591AMO,501AO2,['library']
1381,591AMO,501B,['library']
1382,591AMO,502A,['library']
1383,591AMO,502AO,['library']
1384,591AMO,502AO2,['library']
1385,591AMO,502AO3,['library']
1386,594JLW,502B,['communities']
1387,594JLW,502C,['communities']
1388,594JLW,515A,['methods']
1389,594JLW,515AO,['methods']
1390,594JLW,516A,"['Students', 'projects']"
1391,594JLW,516AO,"['Students', 'projects']"
1392,594JLW,518AO,['communities']
1393,594JLW,525AO,['proficiency']
1394,594JLW,530I,"['databases', 'Students']"
1395,594JLW,532A,['communities']
1396,594JLW,532AO,['communities']
1397,594JLW,540A,"['Students', 'projects']"
1398,594JLW,548A,['patterns']
1399,594JLW,559A,"['methods', 'Students']"
1400,594JLW,560AO,['Students']
1401,594JLW,561A,['methods']
1402,594JLW,561AO,['methods']
1403,594JLW,561B,['methods']
1404,594JLW,568AO,['Students']
1405,594JLW,586A,['methods']
1406,594JLW,586AO,['methods']
1407,594JLW,590AT,"['information sciences', 'IS 590', 'aspects']"
1408,594JLW,590BAO,"['Students', 'IS 590', 'aspects', 'information sciences']"
1409,594JLW,590BBO,"['Students', 'IS 590', 'aspects', 'information sciences']"
1410,594JLW,590CA,"['information sciences', 'collection', 'IS 590', 'aspects']"
1411,594JLW,590CRO,"['Students', 'IS 590', 'aspects', 'information sciences']"
1412,594JLW,590DHO,"['projects', 'IS 590', 'methods', 'aspects', 'information sciences']"
1413,594JLW,590DI,"['information sciences', 'IS 590', 'aspects']"
1414,594JLW,590DT,"['patterns', 'information sciences', 'IS 590', 'aspects']"
1415,594JLW,390W1A,['Students']
1416,594JLW,390W1B,['Students']
1417,594JLW,418AO,['projects']
1418,594JLW,418AU,['projects']
1419,594JLW,458AO,"['methods', 'Students']"
1420,594JLW,461AG,['Students']
1421,594JLW,461AO,['Students']
1422,594JLW,461AU,['Students']
1423,594JLW,462G4,['Students']
1424,594JLW,462UG3,['Students']
1425,594JLW,490ITU,"['methods', 'Students']"
1426,594JLW,490TEO,"['methods', 'databases', 'projects']"
1427,594JLW,501A,['methods']
1428,594JLW,501AO,['methods']
1429,594JLW,501AO2,['methods']
1430,594JLW,501B,['methods']
1431,594JLW,502A,['communities']
1432,594JLW,502AO,['communities']
1433,594JLW,502AO2,['communities']
1434,594JLW,502AO3,['communities']
1435,591,502B,['library']
1436,591,502C,['library']
1437,591,548A,['library']
1438,591,560AO,['library']
1439,591,501A,['library']
1440,591,501AO,['library']
1441,591,501AO2,['library']
1442,591,501B,['library']
1443,591,502A,['library']
1444,591,502AO,['library']
1445,591,502AO2,['library']
1446,591,502AO3,['library']
1447,502B,502C,"['models', 'freedom', 'library', 'M.S.', 'agencies', 'situations', 'role', 'sponsors', 'fields', 'LIS', 'science', 'ethics', 'information science professions', 'communities', 'issues', 'professionalism', 'community service', 'interrelationships', 'agenda', 'intellectual property', 'users', 'core course', 'literacy']"
1448,502B,508AO,['issues']
1449,502B,508AO2,['issues']
1450,502B,515A,"['role', 'literacy', 'issues']"
1451,502B,515AO,"['role', 'literacy', 'issues']"
1452,502B,516A,['literacy']
1453,502B,516AO,['literacy']
1454,502B,518AO,['communities']
1455,502B,525AO,['agencies']
1456,502B,527AO,"['role', 'literacy', 'LIS']"
1457,502B,528A,['issues']
1458,502B,530C,['users']
1459,502B,530I,['users']
1460,502B,530MAO,['users']
1461,502B,531AO,"['issues', 'science']"
1462,502B,532A,['communities']
1463,502B,532AO,['communities']
1464,502B,542A,['models']
1465,502B,542B,['models']
1466,502B,545AO,"['issues', 'freedom']"
1467,502B,547AO,"['issues', 'literacy']"
1468,502B,548A,"['users', 'library']"
1469,502B,560AO,['library']
1470,502B,562AO,"['role', 'issues']"
1471,502B,567AO,['issues']
1472,502B,568AO,['issues']
1473,502B,580AO,['issues']
1474,502B,581AO,['issues']
1475,502B,582AO,['users']
1476,502B,587A,['LIS']
1477,502B,590AT,['literacy']
1478,502B,390CC,['science']
1479,502B,390RGI,['science']
1480,502B,390W1A,"['role', 'science']"
1481,502B,390W1B,"['role', 'science']"
1482,502B,458AO,['issues']
1483,502B,462G4,['issues']
1484,502B,462UG3,['issues']
1485,502B,490GHU,['issues']
1486,502B,490SMG,['role']
1487,502B,490SMU,['role']
1488,502B,490TEO,['LIS']
1489,502B,501A,"['science', 'M.S.', 'library']"
1490,502B,501AO,"['science', 'LIS', 'library', 'M.S.', 'core course']"
1491,502B,501AO2,"['science', 'LIS', 'library', 'M.S.', 'core course']"
1492,502B,501B,"['science', 'M.S.', 'library']"
1493,502B,502A,"['models', 'freedom', 'library', 'M.S.', 'agencies', 'situations', 'role', 'sponsors', 'fields', 'LIS', 'science', 'ethics', 'information science professions', 'communities', 'issues', 'professionalism', 'community service', 'interrelationships', 'agenda', 'intellectual property', 'users', 'core course', 'literacy']"
1494,502B,502AO,"['models', 'freedom', 'library', 'M.S.', 'agencies', 'situations', 'role', 'sponsors', 'fields', 'LIS', 'science', 'ethics', 'information science professions', 'communities', 'issues', 'professionalism', 'community service', 'interrelationships', 'agenda', 'intellectual property', 'users', 'core course', 'literacy']"
1495,502B,502AO2,"['models', 'freedom', 'library', 'M.S.', 'agencies', 'situations', 'role', 'sponsors', 'fields', 'LIS', 'science', 'ethics', 'information science professions', 'communities', 'issues', 'professionalism', 'community service', 'interrelationships', 'agenda', 'intellectual property', 'users', 'core course', 'literacy']"
1496,502B,502AO3,"['models', 'freedom', 'library', 'M.S.', 'agencies', 'situations', 'role', 'sponsors', 'fields', 'LIS', 'science', 'ethics', 'information science professions', 'communities', 'issues', 'professionalism', 'community service', 'interrelationships', 'agenda', 'intellectual property', 'users', 'core course', 'literacy']"
1497,502C,508AO,['issues']
1498,502C,508AO2,['issues']
1499,502C,515A,"['role', 'literacy', 'issues']"
1500,502C,515AO,"['role', 'literacy', 'issues']"
1501,502C,516A,['literacy']
1502,502C,516AO,['literacy']
1503,502C,518AO,['communities']
1504,502C,525AO,['agencies']
1505,502C,527AO,"['role', 'literacy', 'LIS']"
1506,502C,528A,['issues']
1507,502C,530C,['users']
1508,502C,530I,['users']
1509,502C,530MAO,['users']
1510,502C,531AO,"['issues', 'science']"
1511,502C,532A,['communities']
1512,502C,532AO,['communities']
1513,502C,542A,['models']
1514,502C,542B,['models']
1515,502C,545AO,"['issues', 'freedom']"
1516,502C,547AO,"['issues', 'literacy']"
1517,502C,548A,"['users', 'library']"
1518,502C,560AO,['library']
1519,502C,562AO,"['role', 'issues']"
1520,502C,567AO,['issues']
1521,502C,568AO,['issues']
1522,502C,580AO,['issues']
1523,502C,581AO,['issues']
1524,502C,582AO,['users']
1525,502C,587A,['LIS']
1526,502C,590AT,['literacy']
1527,502C,390CC,['science']
1528,502C,390RGI,['science']
1529,502C,390W1A,"['role', 'science']"
1530,502C,390W1B,"['role', 'science']"
1531,502C,458AO,['issues']
1532,502C,462G4,['issues']
1533,502C,462UG3,['issues']
1534,502C,490GHU,['issues']
1535,502C,490SMG,['role']
1536,502C,490SMU,['role']
1537,502C,490TEO,['LIS']
1538,502C,501A,"['science', 'M.S.', 'library']"
1539,502C,501AO,"['science', 'LIS', 'library', 'M.S.', 'core course']"
1540,502C,501AO2,"['science', 'LIS', 'library', 'M.S.', 'core course']"
1541,502C,501B,"['science', 'M.S.', 'library']"
1542,502C,502A,"['models', 'freedom', 'library', 'M.S.', 'agencies', 'situations', 'role', 'sponsors', 'fields', 'LIS', 'science', 'ethics', 'information science professions', 'communities', 'issues', 'professionalism', 'community service', 'interrelationships', 'agenda', 'intellectual property', 'users', 'core course', 'literacy']"
1543,502C,502AO,"['models', 'freedom', 'library', 'M.S.', 'agencies', 'situations', 'role', 'sponsors', 'fields', 'LIS', 'science', 'ethics', 'information science professions', 'communities', 'issues', 'professionalism', 'community service', 'interrelationships', 'agenda', 'intellectual property', 'users', 'core course', 'literacy']"
1544,502C,502AO2,"['models', 'freedom', 'library', 'M.S.', 'agencies', 'situations', 'role', 'sponsors', 'fields', 'LIS', 'science', 'ethics', 'information science professions', 'communities', 'issues', 'professionalism', 'community service', 'interrelationships', 'agenda', 'intellectual property', 'users', 'core course', 'literacy']"
1545,502C,502AO3,"['models', 'freedom', 'library', 'M.S.', 'agencies', 'situations', 'role', 'sponsors', 'fields', 'LIS', 'science', 'ethics', 'information science professions', 'communities', 'issues', 'professionalism', 'community service', 'interrelationships', 'agenda', 'intellectual property', 'users', 'core course', 'literacy']"
1546,504A,504AO,"['search strategies', 'services', 'print', 'question negotiation skills', 'variety', 'sources', 'reference']"
1547,504A,504AO2,"['search strategies', 'services', 'print', 'question negotiation skills', 'variety', 'sources', 'reference']"
1548,504A,507A,['print']
1549,504A,507AO,['print']
1550,504A,507AO2,['print']
1551,504A,515A,['print']
1552,504A,515AO,['print']
1553,504A,525AO,"['reference', 'variety']"
1554,504A,528A,['services']
1555,504A,530C,"['services', 'reference']"
1556,504A,530I,"['services', 'reference']"
1557,504A,530MAO,"['services', 'reference']"
1558,504A,547AO,['services']
1559,504A,562AO,['variety']
1560,504A,567AO,['variety']
1561,504A,568AO,['services']
1562,504A,580AO,['reference']
1563,504A,582AO,['services']
1564,504A,586A,['variety']
1565,504A,586AO,['variety']
1566,504A,590BBO,['variety']
1567,504A,590CRO,['variety']
1568,504A,590DT,['variety']
1569,504A,404AG,['print']
1570,504A,404AO,['print']
1571,504A,404AU,['print']
1572,504A,445AG,['print']
1573,504A,445AO,['print']
1574,504A,445AU,['print']
1575,504A,458AO,['variety']
1576,504A,462G4,['services']
1577,504A,462UG3,['services']
1578,504A,490TEO,['variety']
1579,504A,501A,['print']
1580,504A,501AO,['print']
1581,504A,501AO2,['print']
1582,504A,501B,['print']
1583,504AO,504AO2,"['search strategies', 'services', 'print', 'question negotiation skills', 'variety', 'sources', 'reference']"
1584,504AO,507A,['print']
1585,504AO,507AO,['print']
1586,504AO,507AO2,['print']
1587,504AO,515A,['print']
1588,504AO,515AO,['print']
1589,504AO,525AO,"['reference', 'variety']"
1590,504AO,528A,['services']
1591,504AO,530C,"['services', 'reference']"
1592,504AO,530I,"['services', 'reference']"
1593,504AO,530MAO,"['services', 'reference']"
1594,504AO,547AO,['services']
1595,504AO,562AO,['variety']
1596,504AO,567AO,['variety']
1597,504AO,568AO,['services']
1598,504AO,580AO,['reference']
1599,504AO,582AO,['services']
1600,504AO,586A,['variety']
1601,504AO,586AO,['variety']
1602,504AO,590BBO,['variety']
1603,504AO,590CRO,['variety']
1604,504AO,590DT,['variety']
1605,504AO,404AG,['print']
1606,504AO,404AO,['print']
1607,504AO,404AU,['print']
1608,504AO,445AG,['print']
1609,504AO,445AO,['print']
1610,504AO,445AU,['print']
1611,504AO,458AO,['variety']
1612,504AO,462G4,['services']
1613,504AO,462UG3,['services']
1614,504AO,490TEO,['variety']
1615,504AO,501A,['print']
1616,504AO,501AO,['print']
1617,504AO,501AO2,['print']
1618,504AO,501B,['print']
1619,504AO2,507A,['print']
1620,504AO2,507AO,['print']
1621,504AO2,507AO2,['print']
1622,504AO2,515A,['print']
1623,504AO2,515AO,['print']
1624,504AO2,525AO,"['reference', 'variety']"
1625,504AO2,528A,['services']
1626,504AO2,530C,"['services', 'reference']"
1627,504AO2,530I,"['services', 'reference']"
1628,504AO2,530MAO,"['services', 'reference']"
1629,504AO2,547AO,['services']
1630,504AO2,562AO,['variety']
1631,504AO2,567AO,['variety']
1632,504AO2,568AO,['services']
1633,504AO2,580AO,['reference']
1634,504AO2,582AO,['services']
1635,504AO2,586A,['variety']
1636,504AO2,586AO,['variety']
1637,504AO2,590BBO,['variety']
1638,504AO2,590CRO,['variety']
1639,504AO2,590DT,['variety']
1640,504AO2,404AG,['print']
1641,504AO2,404AO,['print']
1642,504AO2,404AU,['print']
1643,504AO2,445AG,['print']
1644,504AO2,445AO,['print']
1645,504AO2,445AU,['print']
1646,504AO2,458AO,['variety']
1647,504AO2,462G4,['services']
1648,504AO2,462UG3,['services']
1649,504AO2,490TEO,['variety']
1650,504AO2,501A,['print']
1651,504AO2,501AO,['print']
1652,504AO2,501AO2,['print']
1653,504AO2,501B,['print']
1654,505A,505AO,"['procedures', 'theories', 'organizations', 'administration', 'institutions', 'management', 'practices', 'foundation', 'principles', 'information centers']"
1655,505A,507A,"['practices', 'principles']"
1656,505A,507AO,"['practices', 'principles']"
1657,505A,507AO2,"['practices', 'principles']"
1658,505A,508AO,['management']
1659,505A,508AO2,['management']
1660,505A,518AO,"['principles', 'organizations']"
1661,505A,528A,['principles']
1662,505A,531AO,['management']
1663,505A,543A,['management']
1664,505A,543B,['management']
1665,505A,543C,['management']
1666,505A,545AO,['theories']
1667,505A,559A,['theories']
1668,505A,581AO,"['institutions', 'practices', 'principles']"
1669,505A,586A,['management']
1670,505A,586AO,['management']
1671,505A,590CA,['organizations']
1672,505A,590DT,['principles']
1673,505A,390CC,['practices']
1674,505A,390RGI,['practices']
1675,505A,390W1A,['principles']
1676,505A,390W1B,['principles']
1677,505A,409AG,['theories']
1678,505A,409AO,['theories']
1679,505A,409AO2,['theories']
1680,505A,409AU,['theories']
1681,505A,457IDG,['foundation']
1682,505A,457IDU,['foundation']
1683,505A,462G4,"['practices', 'principles']"
1684,505A,462UG3,"['practices', 'principles']"
1685,505A,490TEO,"['management', 'organizations']"
1686,505A,501A,"['principles', 'organizations']"
1687,505A,501AO,"['principles', 'organizations']"
1688,505A,501AO2,"['principles', 'organizations']"
1689,505A,501B,"['principles', 'organizations']"
1690,505AO,507A,"['practices', 'principles']"
1691,505AO,507AO,"['practices', 'principles']"
1692,505AO,507AO2,"['practices', 'principles']"
1693,505AO,508AO,['management']
1694,505AO,508AO2,['management']
1695,505AO,518AO,"['principles', 'organizations']"
1696,505AO,528A,['principles']
1697,505AO,531AO,['management']
1698,505AO,543A,['management']
1699,505AO,543B,['management']
1700,505AO,543C,['management']
1701,505AO,545AO,['theories']
1702,505AO,559A,['theories']
1703,505AO,581AO,"['institutions', 'practices', 'principles']"
1704,505AO,586A,['management']
1705,505AO,586AO,['management']
1706,505AO,590CA,['organizations']
1707,505AO,590DT,['principles']
1708,505AO,390CC,['practices']
1709,505AO,390RGI,['practices']
1710,505AO,390W1A,['principles']
1711,505AO,390W1B,['principles']
1712,505AO,409AG,['theories']
1713,505AO,409AO,['theories']
1714,505AO,409AO2,['theories']
1715,505AO,409AU,['theories']
1716,505AO,457IDG,['foundation']
1717,505AO,457IDU,['foundation']
1718,505AO,462G4,"['practices', 'principles']"
1719,505AO,462UG3,"['practices', 'principles']"
1720,505AO,490TEO,"['management', 'organizations']"
1721,505AO,501A,"['principles', 'organizations']"
1722,505AO,501AO,"['principles', 'organizations']"
1723,505AO,501AO2,"['principles', 'organizations']"
1724,505AO,501B,"['principles', 'organizations']"
1725,507A,507AO,"['information service needs', 'user communities', 'subject cataloging', 'media', 'vocabularies', 'structures', 'Introduction', 'print', 'context', 'concepts', 'practices', 'principles', 'access', 'subject analysis', 'enrollment', 'technologies', 'standards', 'coverage']"
1726,507A,507AO2,"['information service needs', 'user communities', 'subject cataloging', 'media', 'vocabularies', 'structures', 'Introduction', 'print', 'context', 'concepts', 'practices', 'principles', 'access', 'subject analysis', 'enrollment', 'technologies', 'standards', 'coverage']"
1727,507A,508AO,['enrollment']
1728,507A,508AO2,['enrollment']
1729,507A,515A,"['media', 'print']"
1730,507A,515AO,"['media', 'print']"
1731,507A,518AO,"['technologies', 'access', 'media', 'principles']"
1732,507A,528A,"['media', 'principles']"
1733,507A,530C,['enrollment']
1734,507A,530I,['structures']
1735,507A,547AO,['access']
1736,507A,548A,['concepts']
1737,507A,559A,['concepts']
1738,507A,560AO,"['technologies', 'access', 'enrollment']"
1739,507A,561A,['enrollment']
1740,507A,561AO,['enrollment']
1741,507A,561B,['enrollment']
1742,507A,581AO,"['access', 'practices', 'principles']"
1743,507A,582AO,['access']
1744,507A,586A,['standards']
1745,507A,586AO,['standards']
1746,507A,590DHO,"['context', 'technologies', 'concepts']"
1747,507A,590DT,['principles']
1748,507A,390CC,['practices']
1749,507A,390RGI,"['technologies', 'practices']"
1750,507A,390W1A,"['technologies', 'principles']"
1751,507A,390W1B,"['technologies', 'principles']"
1752,507A,404AG,['print']
1753,507A,404AO,['print']
1754,507A,404AU,['print']
1755,507A,445AG,['print']
1756,507A,445AO,['print']
1757,507A,445AU,['print']
1758,507A,451A,"['technologies', 'concepts']"
1759,507A,451AO,"['technologies', 'concepts']"
1760,507A,452AG,['concepts']
1761,507A,452AO,['concepts']
1762,507A,452AU,['concepts']
1763,507A,452BG,['concepts']
1764,507A,452BU,['concepts']
1765,507A,457IDG,['technologies']
1766,507A,457IDU,['technologies']
1767,507A,458AO,['concepts']
1768,507A,461AG,['access']
1769,507A,461AO,['access']
1770,507A,461AU,['access']
1771,507A,462G4,"['technologies', 'concepts', 'practices', 'principles']"
1772,507A,462UG3,"['technologies', 'concepts', 'practices', 'principles']"
1773,507A,490GI,['context']
1774,507A,490ITG,['context']
1775,507A,490ITU,['context']
1776,507A,490TEO,['concepts']
1777,507A,501A,"['information service needs', 'print', 'principles', 'user communities', 'access']"
1778,507A,501AO,"['information service needs', 'print', 'principles', 'user communities', 'access']"
1779,507A,501AO2,"['information service needs', 'print', 'principles', 'user communities', 'access']"
1780,507A,501B,"['information service needs', 'print', 'principles', 'user communities', 'access']"
1781,507AO,507AO2,"['information service needs', 'user communities', 'subject cataloging', 'media', 'vocabularies', 'structures', 'Introduction', 'print', 'context', 'concepts', 'practices', 'principles', 'access', 'subject analysis', 'enrollment', 'technologies', 'standards', 'coverage']"
1782,507AO,508AO,['enrollment']
1783,507AO,508AO2,['enrollment']
1784,507AO,515A,"['media', 'print']"
1785,507AO,515AO,"['media', 'print']"
1786,507AO,518AO,"['technologies', 'access', 'media', 'principles']"
1787,507AO,528A,"['media', 'principles']"
1788,507AO,530C,['enrollment']
1789,507AO,530I,['structures']
1790,507AO,547AO,['access']
1791,507AO,548A,['concepts']
1792,507AO,559A,['concepts']
1793,507AO,560AO,"['technologies', 'access', 'enrollment']"
1794,507AO,561A,['enrollment']
1795,507AO,561AO,['enrollment']
1796,507AO,561B,['enrollment']
1797,507AO,581AO,"['access', 'practices', 'principles']"
1798,507AO,582AO,['access']
1799,507AO,586A,['standards']
1800,507AO,586AO,['standards']
1801,507AO,590DHO,"['context', 'technologies', 'concepts']"
1802,507AO,590DT,['principles']
1803,507AO,390CC,['practices']
1804,507AO,390RGI,"['technologies', 'practices']"
1805,507AO,390W1A,"['technologies', 'principles']"
1806,507AO,390W1B,"['technologies', 'principles']"
1807,507AO,404AG,['print']
1808,507AO,404AO,['print']
1809,507AO,404AU,['print']
1810,507AO,445AG,['print']
1811,507AO,445AO,['print']
1812,507AO,445AU,['print']
1813,507AO,451A,"['technologies', 'concepts']"
1814,507AO,451AO,"['technologies', 'concepts']"
1815,507AO,452AG,['concepts']
1816,507AO,452AO,['concepts']
1817,507AO,452AU,['concepts']
1818,507AO,452BG,['concepts']
1819,507AO,452BU,['concepts']
1820,507AO,457IDG,['technologies']
1821,507AO,457IDU,['technologies']
1822,507AO,458AO,['concepts']
1823,507AO,461AG,['access']
1824,507AO,461AO,['access']
1825,507AO,461AU,['access']
1826,507AO,462G4,"['technologies', 'concepts', 'practices', 'principles']"
1827,507AO,462UG3,"['technologies', 'concepts', 'practices', 'principles']"
1828,507AO,490GI,['context']
1829,507AO,490ITG,['context']
1830,507AO,490ITU,['context']
1831,507AO,490TEO,['concepts']
1832,507AO,501A,"['information service needs', 'print', 'principles', 'user communities', 'access']"
1833,507AO,501AO,"['information service needs', 'print', 'principles', 'user communities', 'access']"
1834,507AO,501AO2,"['information service needs', 'print', 'principles', 'user communities', 'access']"
